SEMGREP_FINDINGS=15
SEMGREP_ERRORS=4
SEMGREP_1	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/API.md	line=444-444	rule=javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket	severity=ERROR	message=Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.	code=requires login
SEMGREP_2	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/API.zh-TW.md	line=468-468	rule=javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket	severity=ERROR	message=Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.	code=requires login
SEMGREP_3	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/README.md	line=363-363	rule=javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket	severity=ERROR	message=Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.	code=requires login
SEMGREP_4	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/README.zh-TW.md	line=362-362	rule=javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket	severity=ERROR	message=Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.	code=requires login
SEMGREP_5	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/extension/sidebar/app.js	line=17-17	rule=typescript.react.security.react-insecure-request.react-insecure-request	severity=ERROR	message=Unencrypted request over HTTP detected.	code=requires login
SEMGREP_6	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/extension/sidebar/app.js	line=70-74	rule=typescript.react.security.react-insecure-request.react-insecure-request	severity=ERROR	message=Unencrypted request over HTTP detected.	code=requires login
SEMGREP_7	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/forge-dashboard/client/index.html	line=8-8	rule=html.security.audit.missing-integrity.missing-integrity	severity=WARNING	message=This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) you’re telling the browser to fetch in the 'integrity' attribute for all externally hosted files.	code=requires login
SEMGREP_8	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/internal/api/dashboard.go	line=14-14	rule=go.lang.security.audit.xss.no-direct-write-to-responsewriter.no-direct-write-to-responsewriter	severity=WARNING	message=Detected directly writing or similar in 'http.ResponseWriter.write()'. This bypasses HTML escaping that prevents cross-site scripting vulnerabilities. Instead, use the 'html/template' package and render data using 'template.Execute()'.	code=requires login
SEMGREP_9	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/internal/api/sessions.go	line=432-432	rule=javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket	severity=ERROR	message=Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.	code=requires login
SEMGREP_10	file=/home/ubuntu/forgelocal-final-environment-closure/source-only/internal/api/sessions.go	line=441-441	rule=javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket	severity=ERROR	message=Insecure WebSocket Detected. WebSocket Secure (wss) should be used for all WebSocket connections.	code=requires login
